pl_name,pl_rade,st_teff,st_rad,st_mass
Kepler-6 b,14.616536,5647.0,1.391,1.209
Kepler-491 b,8.92,5582.0,1.03,1.04
Kepler-32 c,2.0,3900.0,0.53,0.58
Kepler-29 c,2.34,5378.0,0.732,0.761
Kepler-20 c,2.894,5495.0,0.9164,0.929
Kepler-166 d,1.73,5350.0,0.83,0.88
Kepler-52 b,2.1,4075.0,0.52,0.54
K2-270 b,1.38,4877.0,0.77,0.85
K2-280 b,7.5,5500.0,1.28,1.03
K2-381 c,2.0,4473.0,0.675,0.754
HATS-36 b,12.92,5950.0,1.1,1.1
K2-222 b,2.275,5942.0,1.072,0.94
K2-214 b,2.51,5875.0,1.236,1.03
K2-220 b,2.37,5612.0,1.026,0.91
K2-216 b,1.75,4503.0,0.72,0.7
K2-212 b,2.65,4349.0,0.678,0.622
K2-151 b,1.49,3695.0,0.45,0.47
K2-295 b,10.054473,4444.0,0.7,0.74
K2-283 b,3.52,5060.0,0.82,0.89
K2-281 b,8.18,4812.0,0.76,0.82
K2-387 b,7.322,3572.0,0.585,0.57
K2-158 b,2.64,5503.0,0.95,0.92
K2-244 b,1.75,5677.0,0.92,0.86
K2-159 b,2.26,5425.0,0.83,0.9
K2-160 b,3.17824034,5649.0,0.913754,0.982829
K2-161 b,6.11721229,4972.0,2.568173,0.986876
K2-162 b,1.44,4842.0,0.69,0.75
K2-163 b,2.46610713,4937.0,0.762201,0.826112
K2-165 b,1.27443657,5185.0,0.803827,0.834847
K2-165 c,1.55409035,5185.0,0.803827,0.834847
K2-165 d,2.64809498,5185.0,0.803827,0.834847
Kepler-477 b,2.07,5240.0,0.79,0.87
EPIC 201595106 b,1.565,5679.0,0.98,0.958
K2-166 b,2.19,5960.0,1.61,1.16
K2-175 b,2.03803688,5909.0,1.420038,1.094693
K2-176 b,1.49090097,5428.0,0.86416,0.938545
K2-177 b,2.1162048,6063.0,1.213565,1.210525
K2-178 b,3.55790985,5525.0,0.887267,0.95109
Kepler-9 d,1.64,5777.0,1.02,1.07
K2-185 b,1.15,5788.0,0.94,0.96
K2-185 c,2.39,5788.0,0.94,0.96
K2-263 b,2.513,5368.0,0.85,0.88
K2-186 b,3.17207779,5784.0,0.98083,1.018617
K2-341 b,3.21,5817.0,1.16,0.98
K2-188 b,1.35,5977.0,1.19,1.06
K2-189 b,1.403,5442.0,0.879,0.85
K2-190 c,1.09308317,5631.0,0.912206,0.904597
K2-195 c,2.57581891,5712.0,0.906367,0.963364
K2-196 b,3.59970536,6045.0,1.538801,1.162095
K2-201 b,1.40006712,5507.0,0.878161,0.956055
K2-201 c,3.28568401,5507.0,0.878161,0.956055
K2-202 b,2.30165603,5491.0,0.910685,0.971461
K2-381 b,1.075,4473.0,0.675,0.754
K2-381 d,1.689,4473.0,0.675,0.754
K2-382 b,2.072,5452.0,0.811,0.922
K2-383 b,1.564,5129.0,0.804,1.061
K2-203 b,1.26549392,5026.0,0.765,0.793
K2-204 b,3.17214154,5783.0,1.253,1.076
K2-205 b,1.99552771,5890.0,1.077574,0.951027
K2-206 b,2.79522879,5043.0,0.758046,0.789481
K2-207 b,2.60585269,5522.0,0.928158,0.941851
K2-208 b,1.67462172,5500.0,0.872,0.881
K2-211 b,1.33162691,5117.0,0.818,0.851
K2-213 b,1.51398464,5794.0,1.20424,1.069596
K2-215 b,2.12381238,5704.0,0.974398,0.999987
K2-217 b,3.57854073,5967.0,1.333718,1.102661
K2-218 b,2.56948149,5757.0,1.008231,1.047488
K2-219 b,1.34762583,5753.0,1.189232,1.021545
K2-219 c,1.43839723,5753.0,1.189232,1.021545
K2-219 d,2.57634456,5753.0,1.189232,1.021545
K2-221 b,1.67890272,5716.0,0.947599,1.010842
K2-224 b,1.56,5620.0,0.84,0.91
K2-224 c,2.41,5620.0,0.84,0.91
K2-225 b,3.60929179,5520.0,1.7,1.482
K2-226 b,1.53899305,5288.0,0.889,0.856
K2-227 b,1.66551298,5673.0,0.890666,0.950811
K2-228 b,1.21,4715.0,0.65,0.71
K2-229 c,2.03,5315.0,0.79,0.87
K2-230 b,1.96,5945.0,1.39,1.11
EPIC 229004835 b,2.332,5868.0,0.999,0.97
K2-259 b,2.32,6059.0,1.13,1.14
K2-80 d,2.55211506,5377.0,0.841458,0.913111
K2-331 c,2.72,5994.0,1.06,1.1
K2-333 b,6.18,5880.0,1.22,1.06
K2-334 b,5.65,6502.0,1.49,1.36
K2-342 b,2.03,5920.0,1.09,1.01
K2-343 c,2.02,3804.0,0.46,0.49
K2-344 b,1.59,4374.0,0.49,0.51
K2-348 b,3.26,5077.0,0.85,0.83
K2-348 c,2.67,5077.0,0.85,0.83
K2-352 c,1.92,5791.0,0.95,0.98
K2-352 d,2.23,5791.0,0.95,0.98
G 9-40 b,1.9,3395.0,0.3026,0.2952
HD 80653 b,1.613,5959.0,1.22,1.18
Kepler-21 b,1.639,6305.0,1.902,1.408
Kepler-8 b,15.871944,6213.0,1.486,1.213
KOI-984 b,4.3,5295.0,0.818,0.928
Kepler-505 b,2.6,3931.0,0.53,0.55
Kepler-745 b,2.16,5849.0,1.04,1.04
Kepler-748 b,2.52,5934.0,1.1,1.07
HD 73344 b,2.884,6252.6,1.22,1.2
Kepler-1732 b,4.09903273,5821.0,1.494,1.043
K2-368 d,1.948,4663.0,0.663,0.746
K2-368 c,1.361,4663.0,0.663,0.746
Kepler-1733 b,3.63582354,6320.0,1.252,1.273
Kepler-754 b,2.01,5935.0,1.08,1.06
K2-373 b,2.061,6138.0,1.486,1.158
Kepler-753 b,1.91,4346.0,0.65,0.68
K2-339 b,1.92,4857.0,0.72,0.74
Kepler-752 b,2.81,5373.0,0.83,0.87
K2-343 b,1.65,3804.0,0.46,0.49
Kepler-766 b,3.39,5992.0,1.15,1.1
Kepler-771 b,1.82,5906.0,1.05,1.03
Kepler-773 b,1.43,5850.0,1.01,1.04
