temperature,radius,mass,color,name
5551.0,1.67935,0.98,Yellow,Star_1
3026.0,0.211,0.157,Red,Star_2
5391.0,0.79137,0.94,Yellow,Star_3
6055.0,1.33,1.24,Yellow-White,Star_4
3657.0,0.48,0.45,Red,Star_5
3943.0,0.6113,0.635,Orange,Star_6
5865.17,1.522214,1.053144,Yellow,Star_7
4681.0,0.667422,0.705681,Orange,Star_8
6030.0,1.35033,1.12,Yellow-White,Star_10
5458.24,0.966117,0.959814,Yellow,Star_11
5530.02,1.711479,1.042438,Yellow,Star_12
5259.0,0.846751,0.9,Yellow,Star_14
6517.0,1.375,1.203,Yellow-White,Star_15
5796.0,0.87,0.98,Yellow,Star_16
5338.3,2.04609,0.92,Yellow,Star_17
5378.93,0.916461,0.93,Yellow,Star_18
5700.0,0.9,0.922,Yellow,Star_19
5837.0,1.698,0.952,Yellow,Star_20
6066.19,1.4457,1.13,Yellow-White,Star_21
5569.95,1.091098,0.995578,Yellow,Star_22
4968.98,0.806039,0.82,Orange,Star_23
5913.0,1.16,1.11,Yellow,Star_24
6161.0,1.169,1.251,Yellow-White,Star_26
5318.0,0.682614,0.92,Yellow,Star_27
5037.0,0.756,0.724,Orange,Star_28
5529.0,0.832,0.848,Yellow,Star_29
5936.0,0.965,1.075,Yellow,Star_30
5123.0,0.79,0.84,Orange,Star_31
5413.0,0.865,0.865,Yellow,Star_32
5724.0,0.886589,1.02,Yellow,Star_33
5510.0,1.11,1.0,Yellow,Star_34
5601.0,0.909065,0.99,Yellow,Star_36
5129.0,0.754,0.756,Orange,Star_37
5700.0,0.87,0.903,Yellow,Star_38
6004.0,0.85,0.901,Yellow-White,Star_39
6039.0,1.11,1.06,Yellow-White,Star_40
6032.0,0.935,0.793,Yellow-White,Star_43
6124.01,1.43553,1.16,Yellow-White,Star_44
6466.0,1.183,1.205,Yellow-White,Star_45
3271.0,0.352224,0.336778,Red,Star_46
5014.0,0.76,0.8,Orange,Star_47
5945.0,1.346,1.039,Yellow,Star_48
6025.52,1.36307,1.12,Yellow-White,Star_49
5534.0,1.08,0.926,Yellow,Star_50
5816.0,1.0783,1.05,Yellow,Star_51
5271.0,0.838,0.893,Yellow,Star_53
5418.0,0.86,0.9,Yellow,Star_54
3492.73,0.431834,0.453271,Red,Star_55
4714.0,0.774232,0.75,Orange,Star_56
6050.0,1.51,1.4,Yellow-White,Star_57
6046.65,1.27918,1.125,Yellow-White,Star_60
5402.0,0.865,0.774,Yellow,Star_61
5431.0,0.843,0.945,Yellow,Star_62
6321.0,1.23,1.14,Yellow-White,Star_63
5929.0,1.03,1.09,Yellow,Star_65
4612.0,0.65,0.69,Orange,Star_66
5694.42,1.78665,1.01,Yellow,Star_67
5150.0,1.78,1.01,Orange,Star_68
4457.96,0.769859,0.699,Orange,Star_69
5017.0,0.797,0.76,Orange,Star_70
5752.0,1.055,0.965,Yellow,Star_71
5571.0,0.91,0.94,Yellow,Star_72
4826.67,0.757643,0.783,Orange,Star_73
5705.0,0.905,0.943,Yellow,Star_74
6282.0,1.549,1.03,Yellow-White,Star_75
5572.03,1.12476,0.98,Yellow,Star_76
5404.0,1.55,0.909,Yellow,Star_77
5307.0,0.757,0.782,Yellow,Star_78
5311.62,0.788751,0.91,Yellow,Star_79
6093.0,1.025,1.025,Yellow-White,Star_80
5674.51,0.96195,1.01,Yellow,Star_81
5886.0,1.42,1.16,Yellow,Star_83
6011.0,1.409,0.963,Yellow-White,Star_84
5429.0,1.08963,0.95,Yellow,Star_86
4930.0,0.774293,0.81,Orange,Star_87
5200.0,0.843,0.89,Orange,Star_89
5781.0,1.01034,1.04,Yellow,Star_90
5330.0,0.923,0.886,Yellow,Star_91
6224.0,1.083,1.092,Yellow-White,Star_93
5700.0,0.95,0.97,Yellow,Star_94
3056.0,0.168,0.13,Red,Star_95
5676.0,1.487,1.016,Yellow,Star_96
5836.36,1.38809,1.05,Yellow,Star_97
6133.77,1.23303,1.16,Yellow-White,Star_101
5700.0,0.93,1.01,Yellow,Star_102
5800.0,1.003,0.93,Yellow,Star_103
6272.0,2.591,1.72,Yellow-White,Star_104
6200.0,1.58,1.28,Yellow-White,Star_105
5795.0,1.002,1.049,Yellow,Star_106
6001.0,1.367,1.132,Yellow-White,Star_107
6509.0,1.56954,1.336,Yellow-White,Star_108
4124.0,0.757649,0.65,Orange,Star_109
5380.72,0.817705,0.93,Yellow,Star_110
3479.0,0.449,0.445,Red,Star_111
4665.0,0.679,0.691,Orange,Star_112
5880.0,1.026,0.972,Yellow,Star_114
5640.0,1.291,1.047,Yellow,Star_115
6290.0,1.746,1.319,Yellow-White,Star_116
4500.0,0.6506,0.688,Orange,Star_117
5627.0,1.047,1.007,Yellow,Star_118
6236.0,1.36,1.211,Yellow-White,Star_119
6151.0,1.828,1.308,Yellow-White,Star_120
10170.0,2.362,2.52,Blue-White,Star_121
6550.0,1.38,1.2,Yellow-White,Star_122
5480.0,0.949,1.02,Yellow,Star_123
5400.0,1.058,1.004,Yellow,Star_124
6400.0,1.236,1.28,Yellow-White,Star_125
5400.0,0.84,0.89,Yellow,Star_127
